"","centre","x_grid","y_grid","latitude","longitude"
"221","x78y204",78,204,71.1589066052755,-156.736814497357
"222","x78y205",78,205,71.2409985333289,-156.087682448249
"223","x78y206",78,206,71.3207209160146,-155.432828679399
"224","x78y207",78,207,71.3980408564995,-154.772350532572
"225","x78y208",78,208,71.4729259172063,-154.106353005772
"226","x78y209",78,209,71.5453441721402,-153.434948822922
"227","x78y210",78,210,71.615264260054,-152.758258482643
"228","x78y211",78,211,71.6826554382947,-152.076410284862
"229","x78y212",78,212,71.7474876371599,-151.389540334035
"230","x78y213",78,213,71.8097315145838,-150.697792517861
"231","x78y214",78,214,71.8693585109571,-150.001318460472
"232","x79y194",79,194,70.4130695381103,-163.210169628815
"233","x79y195",79,195,70.5181184227895,-162.617611118772
"234","x79y196",79,196,70.6211306725124,-162.018570303036
"235","x79y197",79,197,70.7220705095337,-161.413073338514
"236","x79y198",79,198,70.820902144412,-160.801152716148
"237","x79y199",79,199,70.9175898151588,-160.182847480381
"238","x79y200",79,200,71.012097828245,-159.558203441584
"239","x79y201",79,201,71.1043906014322,-158.92727338005
"240","x79y202",79,202,71.1944327083853,-158.290117240129
"241","x79y203",79,203,71.2821889250105,-157.646802313011
"242","x79y204",79,204,71.3676242774497,-156.997403406642
"243","x79y205",79,205,71.4507040916489,-156.342003001237
"244","x79y206",79,206,71.5313940444064,-155.680691388817
"245","x79y207",79,207,71.6096602157887,-155.01356679522
"246","x79y208",79,208,71.6854691427919,-154.340735483033
"247","x79y209",79,209,71.7587878741106,-153.662311833913
"248","x79y210",79,210,71.8295840258604,-152.978418408823
"249","x79y211",79,211,71.8978258380892,-152.289185984747
"250","x79y212",79,212,71.9634822318965,-151.594753566529
"251","x79y213",79,213,72.0265228669685,-150.895268372581
"252","x79y214",79,214,72.0869181993229,-150.190885793294
"253","x80y194",80,194,70.6105382487817,-163.529571560392
"254","x80y195",80,195,70.7167437421366,-162.932595181536
"255","x80y196",80,196,70.820902144412,-162.328949638008
"256","x80y197",80,197,70.9229767587652,-161.718658797028
"257","x80y198",80,198,71.0229308555296,-161.101753084736
"258","x80y199",80,199,71.1207277124824,-160.47826972408
"259","x80y200",80,200,71.2163306571102,-159.848252965788
"260","x80y201",80,201,71.3097031108437,-159.21175431097
"261","x80y202",80,202,71.4008086352203,-158.568832723767
"262","x80y203",80,203,71.4896109799197,-157.919554832467
"263","x80y204",80,204,71.5760741326052,-157.263995117419
"264","x80y205",80,205,71.6601623704878,-156.602236084074
"265","x80y206",80,206,71.7418403135158,-155.934368419443
"266","x80y207",80,207,71.8210729790775,-155.260491130252
"267","x80y208",80,208,71.8978258380892,-154.580711661097
"268","x80y209",80,209,71.9720648723247,-153.895145990901
"269","x80y210",80,210,72.0437566328266,-153.203918706027
"270","x80y211",80,211,72.112868299226,-152.50716304846
"271","x80y212",80,212,72.1793677397789,-151.805020937538
"272","x80y213",80,213,72.2432235719175,-151.097642963798
"273","x80y214",80,214,72.3044052230954,-150.385188353654
"274","x81y194",81,194,70.8075146071354,-163.855661219717
"275","x81y195",81,195,70.9148969545082,-163.25424946168
"276","x81y196",81,196,71.020221977827,-162.645975363739
"277","x81y197",81,197,71.1234520357257,-162.030860259843
"278","x81y198",81,198,71.2245494311648,-161.40893227322
"279","x81y199",81,199,71.323476452819,-160.780226574086
"280","x81y200",81,200,71.4201954186142,-160.144785630679
"281","x81y201",81,201,71.5146687213869,-159.502659451998
"282","x81y202",81,202,71.6068588766292,-158.853905820592
"283","x81y203",81,203,71.6967285722672,-158.198590513648
"284","x81y204",81,204,71.7842407204057,-157.536787510593
"285","x81y205",81,205,71.8693585109571,-156.868579185373
"286","x81y206",81,206,71.9520454670559,-156.194056481542
"287","x81y207",81,207,72.0322655021439,-155.513319068284
"288","x81y208",81,208,72.1099829785946,-154.82647547547
"289","x81y209",81,209,72.185162767727,-154.133643205906
